Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load,Usage_kWh
3.85,0.0,0.0,65.19,100.0,13500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
5.0,0.0,0.0,61.4,100.0,14400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89
3.82,0.0,0.0,65.14,100.0,15300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.28,0.0,0.0,63.95,100.0,16200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
4.54,0.0,0.0,63.58,100.0,17100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74
3.6,0.0,0.0,67.68,100.0,18000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
4.07,0.0,0.0,65.84,100.0,18900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
4.1,0.0,0.0,65.56,100.0,19800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
3.49,0.0,0.0,68.48,100.0,20700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.32,0.0,0.0,65.85,100.0,21600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
3.64,0.0,0.0,67.72,100.0,22500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35
3.35,0.0,0.0,69.52,100.0,23400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
4.46,0.0,0.0,65.73,100.0,24300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89
3.53,0.0,0.0,68.4,100.0,25200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
3.49,0.0,0.0,68.48,100.0,26100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.75,0.0,0.0,62.97,100.0,27000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85
3.6,0.0,0.0,66.44,100.0,27900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
3.78,0.0,0.0,65.88,100.0,28800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
4.75,0.0,0.0,62.27,100.0,29700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
3.74,0.0,0.0,65.94,100.0,30600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28
4.46,0.18,0.0,61.63,99.87,31500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49
0.0,15.66,0.0,100.0,24.11,32400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89
0.0,16.96,0.0,100.0,20.76,33300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,21.28,0.0,100.0,18.61,34200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03
0.0,19.22,0.0,100.0,19.98,35100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92
0.0,16.88,0.0,100.0,21.08,36000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
0.0,22.32,0.0,100.0,17.94,36900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07
0.0,18.0,0.0,100.0,20.19,37800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71
0.0,16.92,0.0,100.0,20.81,38700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,23.4,0.0,100.0,17.71,39600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21
0.0,5.65,0.0,100.0,52.55,40500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49
0.0,4.82,0.0,100.0,58.31,41400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46
0.0,6.7,0.0,100.0,51.26,42300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,4.57,0.0,100.0,60.69,43200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49
0.0,12.89,0.0,100.0,26.9,44100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,23.15,0.0,100.0,18.06,45000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
0.0,16.67,0.0,100.0,21.5,45900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
0.0,16.63,0.0,100.0,21.55,46800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
0.0,23.33,0.0,100.0,17.92,47700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
0.0,16.74,0.0,100.0,21.25,48600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
0.0,16.99,0.0,100.0,21.11,49500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
0.0,23.4,0.0,100.0,17.99,50400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28
0.0,16.67,0.0,100.0,21.33,51300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
0.0,18.25,0.0,100.0,20.28,52200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
0.0,22.1,0.0,100.0,18.24,53100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.0,16.7,0.0,100.0,21.3,54000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64
0.0,19.33,0.0,100.0,19.87,54900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92
0.0,21.35,0.0,100.0,18.86,55800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.0,16.81,0.0,100.0,20.94,56700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,20.45,0.0,100.0,19.01,57600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96
0.0,20.77,0.0,100.0,18.91,58500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,16.81,0.0,100.0,20.94,59400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,21.64,0.0,100.0,18.48,60300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07
0.0,19.19,0.0,100.0,19.52,61200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82
0.0,16.96,0.0,100.0,20.54,62100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
0.0,23.51,0.0,100.0,17.18,63000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.0,17.39,0.0,100.0,20.27,63900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,17.35,0.0,100.0,20.32,64800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.0,8.96,0.0,100.0,40.77,65700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,5.47,0.0,100.0,53.01,66600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
0.0,16.24,0.0,100.0,22.04,67500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
0.0,22.57,0.0,100.0,17.75,68400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07
0.0,17.39,0.0,100.0,19.89,69300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
0.0,20.74,0.0,100.0,18.25,70200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85
0.0,20.88,0.0,100.0,18.63,71100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96
0.0,17.35,0.0,100.0,20.1,72000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
0.0,22.54,0.0,100.0,17.6,72900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03
0.0,19.55,0.0,100.0,18.79,73800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74
0.0,17.42,0.0,100.0,20.02,74700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
0.0,24.26,0.0,100.0,17.1,75600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21
0.0,17.75,0.0,100.0,19.66,76500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
0.0,17.42,0.0,100.0,19.86,77400.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
0.0,25.2,0.0,100.0,16.63,78300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
0.0,17.5,0.0,100.0,19.77,79200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
1.44,10.08,0.0,92.7,33.3,80100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
4.21,0.0,0.0,65.71,100.0,81000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
3.35,0.0,0.0,69.52,100.0,81900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
3.74,0.0,0.0,68.64,100.0,82800.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
3.42,0.0,0.0,71.82,100.0,83700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53
2.95,0.0,0.0,73.94,100.0,84600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
3.96,0.0,0.0,67.97,100.0,85500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67
3.46,0.0,0.0,70.3,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
3.1,0.0,0.0,71.82,100.0,900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2
4.61,0.0,0.0,64.1,100.0,1800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.85
3.67,0.0,0.0,66.64,100.0,2700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28
3.6,0.0,0.0,68.12,100.0,3600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.35
4.72,0.0,0.0,63.6,100.0,4500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.89
3.53,0.0,0.0,68.07,100.0,5400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28
3.96,0.0,0.0,65.8,100.0,6300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.46
4.82,0.0,0.0,61.71,100.0,7200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.78
3.53,0.0,0.0,68.4,100.0,8100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.31
4.36,0.0,0.0,63.67,100.0,9000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6
4.39,0.0,0.0,63.83,100.0,9900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.64
3.71,0.0,0.0,66.24,100.0,10800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28
4.57,0.0,0.0,63.03,100.0,11700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.71
4.03,0.0,0.0,66.21,100.0,12600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.56
3.49,0.0,0.0,68.04,100.0,13500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.24
4.64,0.0,0.0,64.25,100.0,14400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.89
3.42,0.0,0.0,69.22,100.0,15300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28
3.49,0.0,0.0,68.48,100.0,16200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.28
4.68,0.0,0.0,64.59,100.0,17100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.96
3.42,0.0,0.0,68.77,100.0,18000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.24
3.78,0.0,0.0,67.52,100.0,18900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.46
4.07,0.0,0.0,66.97,100.0,19800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.67
3.42,0.0,0.0,68.77,100.0,20700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.24
3.96,0.0,0.0,67.97,100.0,21600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.67
3.78,0.0,0.0,68.25,100.0,22500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.53
3.24,0.0,0.0,70.27,100.0,23400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2
4.07,0.0,0.0,68.05,100.0,24300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.78
3.35,0.0,0.0,70.71,100.0,25200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.35
3.49,0.0,0.0,71.11,100.0,26100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.53
4.57,0.0,0.0,80.95,100.0,27000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.3
4.79,0.0,0.0,78.4,100.0,27900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.05
4.54,0.0,0.0,82.9,100.0,28800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.73
18.83,0.07,0.0,83.89,100.0,29700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.02
28.66,0.0,0.0,84.97,100.0,30600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.19
35.32,0.0,0.0,82.75,100.0,31500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.06
12.53,0.11,0.0,97.6,100.0,32400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.2
8.32,0.0,0.0,98.95,100.0,33300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,56.84
4.54,0.94,0.0,99.61,99.98,34200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,51.26
2.34,1.15,0.0,99.88,99.97,35100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,48.13
7.06,0.54,0.0,99.12,99.99,36000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52.81
7.52,0.14,0.0,99.07,100.0,36900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.79
8.35,0.11,0.0,98.79,100.0,37800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53.21
32.4,0.0,0.0,92.72,100.0,38700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,80.21
25.49,0.0,0.0,95.0,100.0,39600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,77.58
70.85,0.0,0.0,87.57,100.0,40500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,128.52
78.48,0.0,0.0,87.87,100.0,41400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,144.47
54.29,0.0,0.0,85.84,100.0,42300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.86
66.06,0.0,0.0,88.15,100.0,43200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,123.3
5.54,18.9,0.0,96.09,71.3,44100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.22
0.0,25.92,0.0,100.0,31.03,45000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.46
0.0,25.34,0.0,100.0,30.92,45900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.24
0.0,25.49,0.0,100.0,30.05,46800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.03
27.29,6.52,0.0,94.6,99.67,47700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.67
46.8,0.0,0.0,90.21,100.0,48600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,97.85
49.79,0.0,0.0,92.85,100.0,49500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,124.45
43.34,0.0,0.0,92.88,100.0,50400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,108.61
55.26,0.0,0.0,91.23,100.0,51300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,123.12
53.5,0.0,0.0,92.38,100.0,52200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,129.1
27.58,0.0,0.0,94.79,100.0,53100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,82.08
60.91,0.0,0.0,92.09,100.0,54000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,143.89
34.27,0.0,0.0,93.03,100.0,54900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,86.9
62.57,0.0,0.0,91.45,100.0,55800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,141.44
52.88,0.0,0.0,91.06,100.0,56700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,116.53
61.16,0.0,0.0,90.4,100.0,57600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,129.31
56.77,0.0,0.0,92.33,100.0,58500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,136.44
34.85,0.0,0.0,92.64,100.0,59400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,85.72
65.27,0.0,0.0,91.44,100.0,60300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,147.46
30.78,0.0,0.0,94.27,100.0,61200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,86.94
25.81,0.0,0.0,93.36,100.0,62100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,67.25
50.04,0.0,0.0,91.79,100.0,63000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,115.78
34.63,0.0,0.0,95.62,100.0,63900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,113.11
11.74,1.04,0.0,98.85,99.99,64800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,76.75
15.23,0.14,0.0,93.98,100.0,65700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.9
19.94,0.0,0.0,88.24,100.0,66600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,37.4
8.82,0.5,0.0,97.68,99.99,67500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.25
1.98,1.58,0.0,99.84,99.9,68400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34.92
6.44,0.43,0.0,98.81,99.99,69300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.36
2.52,1.37,0.0,99.76,99.93,70200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,35.96
5.29,0.47,0.0,99.11,99.99,71100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.42
4.68,0.5,0.0,99.26,99.99,72000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.16
1.51,3.96,0.0,99.9,99.3,72900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.23
0.0,12.13,0.0,100.0,90.55,73800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.88
0.0,23.22,0.0,100.0,42.3,74700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.84
0.0,23.51,0.0,100.0,36.75,75600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.29
0.0,25.16,0.0,100.0,26.73,76500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.98
0.0,26.5,0.0,100.0,18.93,77400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.11
0.0,26.42,0.0,100.0,18.88,78300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.08
0.0,26.46,0.0,100.0,18.71,79200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.04
1.84,15.44,0.0,93.69,30.42,80100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.93
5.22,0.0,0.0,66.44,100.0,81000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.64
5.18,0.0,0.0,67.04,100.0,81900.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.68
5.11,0.0,0.0,67.54,100.0,82800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.68
4.54,0.0,0.0,70.94,100.0,83700.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.57
4.25,0.0,0.0,73.23,100.0,84600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.57
4.25,0.0,0.0,73.0,100.0,85500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.54
4.21,0.0,0.0,73.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.61
4.61,0.0,0.0,70.71,100.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.61
4.54,0.0,0.0,71.25,100.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.61
4.5,0.0,0.0,71.25,100.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.57
4.61,0.0,0.0,70.4,100.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.57
4.46,0.0,0.0,72.1,100.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.57,0.0,0.0,71.25,100.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.79,0.0,0.0,69.34,100.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.61
4.5,0.0,0.0,71.25,100.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.57
4.39,0.0,0.0,72.42,100.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.61
4.75,0.0,0.0,69.88,100.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.75,0.0,0.0,69.88,100.0,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.75,0.0,0.0,69.33,100.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.57
5.11,0.0,0.0,67.22,100.0,11700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.72,0.0,0.0,70.1,100.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.64
4.68,0.0,0.0,70.71,100.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.68
4.46,0.0,0.0,71.57,100.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.57
4.32,0.0,0.0,72.44,100.0,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.54
